1 1 ImagenesCaras/s1/6.pgm, 1, 
1 1 ImagenesCaras/s2/6.pgm, 8, 
1 1 ImagenesCaras/s3/6.pgm, 15, 
1 1 ImagenesCaras/s4/6.pgm, 5, 
1 1 ImagenesCaras/s5/6.pgm, 5, 
1 1 ImagenesCaras/s6/6.pgm, 7, 
1 1 ImagenesCaras/s7/6.pgm, 24, 
1 1 ImagenesCaras/s8/6.pgm, 2, 
1 1 ImagenesCaras/s9/6.pgm, 11, 
1 1 ImagenesCaras/s10/6.pgm, 30, 
1 1 ImagenesCaras/s11/6.pgm, 22, 
1 1 ImagenesCaras/s12/6.pgm, 26, 
1 1 ImagenesCaras/s13/6.pgm, 13, 
1 1 ImagenesCaras/s14/6.pgm, 5, 
1 1 ImagenesCaras/s15/6.pgm, 8, 
1 1 ImagenesCaras/s16/6.pgm, 2, 
1 1 ImagenesCaras/s17/6.pgm, 36, 
1 1 ImagenesCaras/s18/6.pgm, 18, 
1 1 ImagenesCaras/s19/6.pgm, 1, 
1 1 ImagenesCaras/s20/6.pgm, 23, 
1 1 ImagenesCaras/s21/6.pgm, 38, 
1 1 ImagenesCaras/s22/6.pgm, 10, 
1 1 ImagenesCaras/s23/6.pgm, 38, 
1 1 ImagenesCaras/s24/6.pgm, 9, 
1 1 ImagenesCaras/s25/6.pgm, 2, 
1 1 ImagenesCaras/s26/6.pgm, 37, 
1 1 ImagenesCaras/s27/6.pgm, 8, 
1 1 ImagenesCaras/s28/6.pgm, 28, 
1 1 ImagenesCaras/s29/6.pgm, 21, 
1 1 ImagenesCaras/s30/6.pgm, 39, 
1 1 ImagenesCaras/s31/6.pgm, 7, 
1 1 ImagenesCaras/s32/6.pgm, 25, 
1 1 ImagenesCaras/s33/6.pgm, 20, 
1 1 ImagenesCaras/s34/6.pgm, 7, 
1 1 ImagenesCaras/s35/6.pgm, 16, 
1 1 ImagenesCaras/s36/6.pgm, 4, 
1 1 ImagenesCaras/s37/6.pgm, 26, 
1 1 ImagenesCaras/s38/6.pgm, 29, 
1 1 ImagenesCaras/s39/6.pgm, 10, 
1 1 ImagenesCaras/s40/6.pgm, 8, 
1 1 ImagenesCaras/s41/6.pgm, 32, 
1 1 ImagenesCaras/s1/7.pgm, 18, 
1 1 ImagenesCaras/s2/7.pgm, 25, 
1 1 ImagenesCaras/s3/7.pgm, 8, 
1 1 ImagenesCaras/s4/7.pgm, 31, 
1 1 ImagenesCaras/s5/7.pgm, 26, 
1 1 ImagenesCaras/s6/7.pgm, 6, 
1 1 ImagenesCaras/s7/7.pgm, 6, 
1 1 ImagenesCaras/s8/7.pgm, 6, 
1 1 ImagenesCaras/s9/7.pgm, 6, 
1 1 ImagenesCaras/s10/7.pgm, 29, 
1 1 ImagenesCaras/s11/7.pgm, 20, 
1 1 ImagenesCaras/s12/7.pgm, 12, 
1 1 ImagenesCaras/s13/7.pgm, 13, 
1 1 ImagenesCaras/s14/7.pgm, 5, 
1 1 ImagenesCaras/s15/7.pgm, 6, 
1 1 ImagenesCaras/s16/7.pgm, 2, 
1 1 ImagenesCaras/s17/7.pgm, 7, 
1 1 ImagenesCaras/s18/7.pgm, 27, 
1 1 ImagenesCaras/s19/7.pgm, 18, 
1 1 ImagenesCaras/s20/7.pgm, 36, 
1 1 ImagenesCaras/s21/7.pgm, 23, 
